Statistic,Year,Type of Crop,UNIT,VALUE
Crop Yield per Hectare,1988,Total wheat,Tonnes,7.8
Crop Yield per Hectare,1988,Winter wheat,Tonnes,8.2
Crop Yield per Hectare,1988,Spring wheat,Tonnes,7
Crop Yield per Hectare,1988,Total oats,Tonnes,6.5
Crop Yield per Hectare,1988,Winter oats,Tonnes,7.7
Crop Yield per Hectare,1988,Spring oats,Tonnes,5.6
Crop Yield per Hectare,1988,Total barley,Tonnes,6.1
Crop Yield per Hectare,1988,Winter barley,Tonnes,6.4
Crop Yield per Hectare,1988,Spring barley,Tonnes,6
Crop Yield per Hectare,1988,Beans and peas,Tonnes,0
Crop Yield per Hectare,1988,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1988,Potatoes,Tonnes,24.8
Crop Yield per Hectare,1988,Turnips,Tonnes,51.9
Crop Yield per Hectare,1988,Sugar beet,Tonnes,40.1
Crop Yield per Hectare,1988,Fodder beet,Tonnes,63.4
Crop Yield per Hectare,1988,Kale and field cabbage,Tonnes,39
Crop Yield per Hectare,1989,"Total wheat, oats and barley",Tonnes,6
Crop Yield per Hectare,1989,Total wheat,Tonnes,7.6
Crop Yield per Hectare,1989,Winter wheat,Tonnes,8.1
Crop Yield per Hectare,1989,Spring wheat,Tonnes,6.2
Crop Yield per Hectare,1989,Total oats,Tonnes,6
Crop Yield per Hectare,1989,Winter oats,Tonnes,7.4
Crop Yield per Hectare,1989,Spring oats,Tonnes,4.9
Crop Yield per Hectare,1989,Total barley,Tonnes,5.6
Crop Yield per Hectare,1989,Winter barley,Tonnes,6.6
Crop Yield per Hectare,1989,Spring barley,Tonnes,5.5
Crop Yield per Hectare,1989,Beans and peas,Tonnes,0
Crop Yield per Hectare,1989,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1989,Potatoes,Tonnes,22.4
Crop Yield per Hectare,1989,Turnips,Tonnes,57.6
Crop Yield per Hectare,1989,Sugar beet,Tonnes,45.2
Crop Yield per Hectare,1989,Fodder beet,Tonnes,54.9
Crop Yield per Hectare,1989,Kale and field cabbage,Tonnes,39.5
Crop Yield per Hectare,1990,"Total wheat, oats and barley",Tonnes,6.6
Crop Yield per Hectare,1990,Total wheat,Tonnes,8.5
Crop Yield per Hectare,1990,Winter wheat,Tonnes,9
Crop Yield per Hectare,1990,Spring wheat,Tonnes,6.7
Crop Yield per Hectare,1990,Total oats,Tonnes,6.6
Crop Yield per Hectare,1990,Winter oats,Tonnes,7.6
Crop Yield per Hectare,1990,Spring oats,Tonnes,5.6
Crop Yield per Hectare,1990,Total barley,Tonnes,5.9
Crop Yield per Hectare,1990,Winter barley,Tonnes,7.7
Crop Yield per Hectare,1990,Spring barley,Tonnes,5.6
Crop Yield per Hectare,1990,Beans and peas,Tonnes,4.9
Crop Yield per Hectare,1990,Oilseed rape,Tonnes,3.6
Crop Yield per Hectare,1990,Potatoes,Tonnes,24.9
